ANY,MES,DIA,MORTS_LLIBRE,MORTS_TOTALS,MORTS,FERITS,HORA,COORDENADES,CARRER,AVIO,UNITAT,QUI
1937,10,1,90,158,55,87,16:00,"41.37944, 2.1885","Sant Miquel, 45?",9 Savoia S.79,Aviació Legionària Italiana,Aina
1937,10,1,90,158,55,87,16:00,"41.37908, 2.18865","Sant Miquel, 43?",9 Savoia S.79,Aviació Legionària Italiana,Aina
1937,10,1,90,158,55,87,16:00,"41.37971, 2.18833",Plaça de la Barceloneta,9 Savoia S.79,Aviació Legionària Italiana,Aina
1937,10,1,90,158,55,87,16:00,"41.37989, 2.18841",Parroquia de Sant Miquel del Port,9 Savoia S.79,Aviació Legionària Italiana,Aina
1937,10,1,90,158,55,87,16:00,"41.37979, 2.18867",Parroquia de Sant Miquel del Port,9 Savoia S.79,Aviació Legionària Italiana,Aina
1937,10,1,90,158,55,87,16:00,"41.37997, 2.18876",Parroquia de Sant Miquel del Port,9 Savoia S.79,Aviació Legionària Italiana,Aina
1937,10,1,90,158,55,87,16:00,"41.37852, 2.18884","Sant Miquel, 67?",9 Savoia S.79,Aviació Legionària Italiana,Aina
1937,10,1,90,158,55,87,16:00,"41.3781, 2.18905","Sant Miquel, 79?",9 Savoia S.79,Aviació Legionària Italiana,Aina
1937,10,1,90,158,55,87,16:00,"41.37795, 2.18908","Sant Miquel, 85?",9 Savoia S.79,Aviació Legionària Italiana,Aina
1937,10,1,90,158,55,87,16:00,"41.382544, 2.189517","Balboa, 33",9 Savoia S.79,Aviació Legionària Italiana,Aina
1937,10,1,90,158,55,87,16:00,"41.382615, 2.190069","Balboa, 37",9 Savoia S.79,Aviació Legionària Italiana,Aina
1937,10,1,90,158,55,87,16:00,"41.382554, 2.190083","Balboa, 32",9 Savoia S.79,Aviació Legionària Italiana,Aina
1937,2,13,18,18,18,18,21:45,"41.401004, 2.165234","Carrer de Còrsega, 429-431",creuer Eugenio di Savoia,Itàlia,Aina
1937,2,13,18,18,18,18,21:45,"41.400139, 2.166350","Carrer de Bailèn, 160-164",creuer Eugenio di Savoia,Itàlia,Aina
1937,2,13,18,18,18,18,21:45,"41.395549, 2.164640","Carrer de Mallorca, 283",creuer Eugenio di Savoia,Itàlia,Aina
1937,2,13,18,18,18,18,21:45,"41.398416, 2.175578","Carrer del Consell de Cent, 444",creuer Eugenio di Savoia,Itàlia,Aina
1937,2,13,18,18,18,18,21:45,"41.398818, 2.175063","Carrer de Nàpols, 188",creuer Eugenio di Savoia,Itàlia,Aina
1937,2,13,18,18,18,18,21:45,"41.398408, 2.175257","Carrer de Nàpols, 185",creuer Eugenio di Savoia,Itàlia,Aina
1937,2,13,18,18,18,18,21:45,"41.399583, 2.174591","Carrer d'Aragó, 399",creuer Eugenio di Savoia,Itàlia,Aina
1937,2,13,18,18,18,18,21:45,"41.400951, 2.173143","Passatge de Gaiolà, 16",creuer Eugenio di Savoia,Itàlia,Aina
1937,2,13,18,18,18,18,21:45,"41.402641, 2.169903","Carrer de Nàpols, 251-269",creuer Eugenio di Savoia,Itàlia,Aina
